"Incl. %1 VAT","Incl. %1 VAT"
"incl. <a href=""%1"">Shipping Cost</a>","incl. <a href=""%1"">Shipping Cost</a>"
"Excl. %1 VAT","Excl. %1 VAT"
"excl. <a href=""%1"">Shipping Cost</a>","excl. <a href=""%1"">Shipping Cost</a>"

"Display Block below Price","Display Block below Price"
"Display tax info and shipping cost link below the price on all pages","Display tax info and shipping cost link below the price on all pages"
"CMS Page for Shipping Info","CMS Page for Shipping Info"
"-- No Page --","-- No Page --"
"Show ""incl. Shipping Cost"" instead of ""excl. Shipping Cost""","Show ""incl. Shipping Cost"" instead of ""excl. Shipping Cost"""
"Delivery Time","Levertijd"